שם תוכנית,יום שידור,תאריך שידור,שעת התחלה,שעת סיום,משך תוכנית,רייטינג,reception_pct,רייטינג מותאם,נתח,צופים 4+,חשיפה 4+,משך צפייה,כאן 11,קשת 12,רשת 13,עכשיו 14,is_rerun,סטטוס תוכנית,שם תוכנית_מקור,שעת התחלה_שעה,חלקי-יום,משך תוכנית_דק,משך צפייה_דק,ממוצע מתחרים,יתרון מול מתחרים,HUT proxy,תג_עונה,תג_חג,תג_ביטחוני,אירוע_מיוחד,יום_חג,יום_ביטחוני,שבת
חדר החדשות איי 24,ראשון,2025-05-25,06:00:00,06:11:29,00:11:29,0.72,0.65,1.107692308,6.48,18.8,18.8,00:11:00,0.38,2.94,0.51,0.56,FALSE,שידור חי,חדר החדשות איי 24,6,1. בוקר 06–09,11.48333333,11,1.0975,-0.3775,5.11,—,—,—,—,FALSE,FALSE,FALSE
הסיפורים הגדולים,ראשון,2025-05-25,06:11:29,07:00:00,00:48:31,0.59,0.65,0.907692308,4,17.2,21.3,00:39:34,0.16,4.26,1.11,1.12,FALSE,שידור חי,הסיפורים הגדולים,6,1. בוקר 06–09,48.51666667,39.56666667,1.6625,-1.0725,7.24,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,07:00:00,07:10:00,00:10:00,0.64,0.65,0.984615385,3.76,18.2,21.2,00:08:34,0.19,5.16,1.37,1.72,FALSE,שידור חי,חדר החדשות איי 24,7,1. בוקר 06–09,10,8.566666667,2.11,-1.47,9.08,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי לקט,ראשון,2025-05-25,07:10:00,08:00:00,00:50:00,0.61,0.65,0.938461538,3.68,17.2,23.6,00:36:29,0.72,4.37,1.78,2.1,TRUE,לקט,המועדון העסקי לקט,7,1. בוקר 06–09,50,36.48333333,2.2425,-1.6325,9.58,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,08:00:00,08:27:01,00:27:01,0.57,0.65,0.876923077,3.29,17.1,24.9,00:18:35,1.44,3.87,2.17,2.47,FALSE,שידור חי,חדר החדשות איי 24,8,1. בוקר 06–09,27.01666667,18.58333333,2.4875,-1.9175,10.52,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,08:30:01,08:57:01,00:27:00,0.64,0.65,0.984615385,3.86,18.5,19.5,00:25:39,1.27,3.15,1.88,2.08,TRUE,שידור חוזר,חדר החדשות איי 24,8,1. בוקר 06–09,27,25.65,2.095,-1.455,9.02,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,09:00:00,09:27:00,00:27:00,0.76,0.65,1.169230769,4.94,22.1,23,00:25:56,1.25,3.63,1.83,1.58,FALSE,שידור חי,חדר החדשות איי 24,9,1. בוקר 06–09,27,25.93333333,2.0725,-1.3125,9.05,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,09:30:00,09:57:00,00:27:00,0.24,0.65,0.369230769,1.51,6.5,16.6,00:10:34,1.05,3.85,1.04,1.07,TRUE,שידור חוזר,חדר החדשות איי 24,9,1. בוקר 06–09,27,10.56666667,1.7525,-1.5125,7.25,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,10:00:00,10:27:00,00:27:00,0.24,0.65,0.369230769,1.51,5.8,10.6,00:14:47,1.06,2.84,1.11,1.08,FALSE,שידור חי,חדר החדשות איי 24,10,2. צהריים 10–13,27,14.78333333,1.5225,-1.2825,6.33,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,10:30:00,10:52:37,00:22:37,0.23,0.65,0.353846154,1.43,6,11.4,00:12:01,0.96,2.58,1.02,0.79,TRUE,שידור חוזר,חדר החדשות איי 24,10,2. צהריים 10–13,22.61666667,12.01666667,1.3375,-1.1075,5.58,—,—,—,—,FALSE,FALSE,FALSE
