feature,psi,ks_stat,ks_p,train_mean,test_mean
שבוע_בשנה,12.336848368499027,0.8213186249358645,5.4e-322,31.505643919958953,11.554358974358975
חודש,11.252282530664207,0.8342739866598256,3.75e-322,7.7421754746023606,2.9907692307692306
reception_pct,11.222799370710518,0.9616469984607491,0.0,0.7575201735155558,0.877062937062937
lag_program_n,3.987786160744359,0.3164102564102564,8.135185965436749e-139,742.815802975885,1261.9276923076923
lag_slot_n,2.101470758863648,0.5629151043927852,4.1e-321,28.508850692662904,59.79076923076923
lag_status_slot_n,1.4907786566640282,0.5200667008722422,5.66e-321,104.14661364802463,202.90358974358975
lag_program_mean,0.7255100088758532,0.10703740248121982,5.178623392753337e-16,0.559384334452998,0.5775770387816782
משך תוכנית_דק,0.37479579262815416,0.11826354080330478,1.8122313916821876e-19,44.443090473747226,47.680675213675215
יום_בחודש,0.10250348032798551,0.0728706371446238,1.1873267528816586e-07,15.594022575679835,15.295384615384615
lag_comp_עכשיו_14_slot,0.0798871418027354,0.06268619015668785,8.960079221067996e-06,1.9660154921164112,1.9667035740759387
lag_competitors_avg_slot,0.07630436121948986,0.09364841930773178,2.3244115657006408e-12,2.5559327975655246,2.3762874985297766
lag_slot_mean,0.06334437588108281,0.10710962886950573,4.844377329236e-16,0.5672217442817457,0.5422828173777058
lag_comp_קשת_12_slot,0.05234510721284379,0.10132572917077791,2.1279265825550414e-14,4.742090338673379,4.401500965205234
lag_status_slot_mean,0.03890306387101202,0.06844021226999951,8.578288822304279e-07,0.5537499821180567,0.5633918382867662
lag_comp_כאן_11_slot,0.03496286483760584,0.08343673941929458,6.768280793342749e-10,1.0574954239045744,1.0010306804706044
lag_comp_רשת_13_slot,0.03364393984430869,0.056854928891870916,7.93965936932794e-05,2.4581299355677344,2.135914774367329
שעת התחלה_שעה,0.02938949011434175,0.057917538251042615,5.420047996558935e-05,12.519881990764494,12.201025641025641
